Age,MonthlyCharges,Tenure,Gender,Churn
25,50,12,Male,No
30,80,10,Female,Yes
45,60,24,Male,No
35,90,8,Female,Yes
40,70,18,Male,No
28,95,6,Female,Yes
50,55,36,Male,No
32,85,9,Female,Yes
38,65,20,Male,No
27,100,5,Female,Yes
29,75,15,Male,No
41,88,7,Female,Yes
33,67,22,Male,No
26,92,4,Female,Yes
48,58,30,Male,No
36,82,11,Female,Yes
52,49,40,Male,No
31,78,13,Female,Yes
44,61,25,Male,No
24,97,3,Female,Yes
39,69,19,Male,No
34,86,10,Female,Yes
47,57,28,Male,No
23,99,2,Female,Yes
42,64,21,Male,No
37,81,12,Female,Yes
55,52,45,Male,No
28,91,5,Female,Yes
46,60,27,Male,No
29,87,8,Female,Yes
43,66,23,Male,No
27,94,4,Female,Yes
51,54,38,Male,No
35,83,9,Female,Yes
49,59,32,Male,No
30,89,7,Female,Yes
40,68,20,Male,No
26,96,3,Female,Yes
53,51,42,Male,No
32,84,11,Female,Yes
45,62,26,Male,No
25,98,2,Female,Yes
41,65,18,Male,No
33,80,14,Female,Yes
50,56,35,Male,No
31,90,6,Female,Yes
38,70,17,Male,No
24,95,4,Female,Yes
48,57,31,Male,No
36,85,10,Female,Yes
